event_date;event;source
20/07/2024;On 20 July 2024, an unidentified Palestinian group opened fire at Israeli forces positioned at the Itamar checkpoint (Nablus, West Bank). There were no casualties.;Long War Journal
21/07/2024;On 21 July 2024, Lions of Glory (AAMB) militants targeted an Israeli military vehicle via roadside bomb on the southern checkpoint near Qalqilyah (Qalqilya, West Bank). There were no casualties.;Long War Journal
22/07/2024;On 22 July 2024, Hamas militants exchanged fire with Israeli forces in the Al Furqan neighborhood in Tal as Sultan (Rafah, Gaza Strip). Militants targeted an Israeli Merkava tank using a Yasin 105 missile as well. Claimed fatalities coded as 0. The IDF claimed that from May 6 to September 12, 2024, over 2,000 gunmen were killed in the Rafah area, of these, 1,550 had already been reported in earlier events. The remaining 450 were split across 19 incidents, with 24 fatalities coded to this event.;Newpress
23/07/2024;On 23 July 2024, Katibat Tulkarm (PIJ), PFLP, and Hamas militants exchanged fire with Israeli forces in AlMurabaa area in Tulkarm area (Tulkarm, West Bank). Militants also targeted Israeli forces with explosives. There were no casualties.;Long War Journal
24/07/2024;On 24 July 2024, Jenin Panthers Brigades (AAMB) exchanged fire with Israeli forces in Ram On (Yizreel, HaZafon). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
25/07/2024;On 25 July 2024, Lions' Den militants opened fire at Israeli forces positioned on the Bayt Furik checkpoint (Nablus, West Bank). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
26/07/2024;On 26 July 2024, an unidentified Palestinian group opened fire, and threw pipe bombs, at Israeli forces that raided Ain al Saltan refugee camp (Jericho, West Bank). There were no casualties.;Long War Journal
27/07/2024;On 27 July 2024, Katibat Al Wadie opened fire at Israeli forces positioned on Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
28/07/2024;On 28 July 2024, Katibat Balata (PIJ) and Balata Youth of Revenge and Liberation (AAMB) opened fire at Israeli forces positioned on the Bayt Furik checkpoint (Nablus, West Bank). Militants claimed they injured Israeli forces but that has not been confirmed.;Long War Journal
29/07/2024;On 29 July 2024, Katibat Jenin (PIJ) opened fire at Israeli forces positioned on the Al Jalamah checkpoint (Jenin, West Bank). There were no casualties.;Long War Journal
30/07/2024;On 30 July 2024, Katibat Silat al Harithiyah (PIJ) opened fire at Israeli forces positioned on the Salim checkpoint (Nablus, West Bank). There were no casualties.;Long War Journal
31/07/2024;Around 31 July 2024 (end of month), IDF soldiers allegedly sexually assaulted a Palestinian prisoner at the Sde Teiman prison facility, near Beersheba (Beer Sheva, HaDarom). Israeli media later released surveillance footage of the alleged assault. Nine IDF soldiers were arrested for 'suspected substantial abuse of a detainee.';"Guardian (United Kingdom); Sky News"
01/08/2024;On 1 August 2024, Katibat Tulkarm - Quick Response (AAMB) opened fire at the Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
02/08/2024;On 2 August 2024, Tulkarm Youth of Revenge and Liberation (AAMB) militants opened fire at Israeli forces positioned on the Irtah checkpoint (Tulkarm, West Bank). There were no casualties.;Long War Journal
03/08/2024;On 3 August 2024, a group of 70 masked armed men surrounded the area of Sheikh Nasser area in Khan Yunis (Khan Yunis, Gaza Strip) and opened fire. A man was shot in the chest and died as he succumbed to his wounds on 21 May 2025.;The Independent Commission For Human Rights
04/08/2024;On 4 August 2024, Jenin Panthers Brigades (AAMB) opened fire at Israeli forces positioned on the Mevo Dotan checkpoint (Jenin, West Bank). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
05/08/2024;On 5 August 2024, Katibat Tubas (PIJ) opened fire at the Beqaot settlement (Tubas, West Bank). There were no casualties.;"Jerusalem Post; Long War Journal"
06/08/2024;On 6 August 2024, Katibat Mukhayyam Qalandia (AAMB) exchanged fire with Israeli forces that raided Al Quds - Qalandia Camp (Al Quds, West Bank). There were no casualties.;Long War Journal
07/08/2024;On 7 August 2024, an unidentified Palestinian assailant stabbed an off -duty Israeli prison services officer after infiltrating his house in Giv'on HaHadasha (Al Quds, West Bank), killing him. The assailant also seized several items from the house and set it on fire.;Long War Journal
08/08/2024;On 8 August 2024, Jenin Panthers Brigades (AAMB) opened fire at Gan Ner (Yizreel, HaZafon). There were no casualties.;Long War Journal
09/08/2024;On 9 August 2024, Tulkarm Youth of Revenge and Liberation (AAMB) opened fire at Israeli settler houses in the Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
10/08/2024;On 10 August 2024, Hamas and Tulkarm Youth of Revenge and Liberation (AAMB) exchanged fire with Israeli forces that raided Tulkarm Camp (Tulkarm, West Bank). There were no casualties.;Long War Journal
11/08/2024;On 11 August 2024, Al Aqsa Martyrs Brigade opened fire at Israeli forces positioned on the Hamra checkpoint, north of Jericho (Jericho, West Bank). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
12/08/2024;On 12 August 2024, Katibat Tulkarm (PIJ) and Katibat Tulkarm - Quick Response (AAMB) opened fire at Israeli forces positioned on the Shaar Efraim checkpoint (Sharon, HaMerkaz). There were no casualties.;Long War Journal
13/08/2024;On 13 August 2024, Balata Youth of Revenge and Liberation (AAMB) opened fire at Israeli forces positioned on Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
14/08/2024;On 14 August 2024, Balata Youth of Revenge and Liberation (AAMB) opened fire at Israeli forces positioned on the Bayt Furik checkpoint (Nablus, West Bank). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
15/08/2024;On 15 August 2024, Lions of Glory (AAMB) opened fire at Israeli forces positioned on the Tzufim post (Qalqilya, West Bank). There were no casualties.;Long War Journal
16/08/2024;On 16 August 2024, Tulkarm Youth of Revenge and Liberation (AAMB) opened fire at the Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
17/08/2024;On 17 August 2024, Al Aqsa Martyrs Brigade exchanged fire with Israeli forces that raided Balata Camp (Nablus, West Bank). There were no casualties.;Long War Journal
18/08/2024;On 18 August 2024, Knights of the Night - Nur ash Shams (AAMB) opened fire at Israeli forces positioned on the Enav checkpoint (Tulkarm, West Bank). There were no casualties.;Long War Journal
19/08/2024;On 19 August 2024, Hezbollah forces in Lebanon launched five explosive-laden drones toward the Western Galilee, including Gesher HaZiv (Akko, HaZafon), and surrounding areas. Three of the drones were intercepted. One crashed in the area of Gesher HaZiv. No casualties occurred.;"Haaretz; Ma'ariv; N12; Times of Israel; Ynet"
20/08/2024;On 20 August 2024, Tulkarm Youth of Revenge and Liberation (AAMB) opened fire at the Avnei Hefetz settlement (Tulkarm, West Bank). There were no casualties.;Long War Journal
21/08/2024;On 21 August 2024, Hezbollah forces in Lebanon fired several drones -- likely armed -- that they claimed were targeting IDF sites in northern Israel. Some of the drones were intercepted. Some crashed in open areas. Falls were detected in the area of Kiryat Shmona (Zefat, HaZafon), though it is unclear if it was shrapnel from interceptions or armed drones. No casualties occurred.;News 0404
22/08/2024;On 22 August 2024, Pioneers of Liberation - Nablus (AAMB) opened fire, and threw explosives, at Israeli forces that raided Nablus city (Nablus, West Bank). There were no casualties.;Long War Journal
23/08/2024;On 23 August 2024, armed Israeli settlers kidnapped 2 Palestinian ex-detainees from inside a vehicle in Al Awja (Jericho, West Bank) after shooting out their tires.;"Ma'an News Agency; Palestine News and Information Agency"
24/08/2024;On 24 August 2024, Hezbollah forces in Lebanon fired about ten rockets at Kiryat Shmona (Zefat, HaZafon). Some of the rockets were intercepted. Some of the rockets directly impacted Kiryat Shmona, damaging at least two houses and sparking a fire in an open area. No casualties occurred.;Haaretz
25/08/2024;On 25 August 2024, Knights of the Night - Nur ash Shams (AAMB) opened fire at Israeli forces positioned on the Shaar Efraim checkpoint (Sharon, HaMerkaz). There were no casualties.;Long War Journal
26/08/2024;On 26 August 2024, Pioneers of Liberation - Nablus (AAMB) exchanged fire with Israeli forces that raided Nablus city (Nablus, West Bank). There were no casualties.;Long War Journal
27/08/2024;On 27 August 2024, Balata Youth of Revenge and Liberation (AAMB) and Katibat Nablus (PIJ) exchanged fire with Israeli forces that raided Balata Camp (Nablus, West Bank). Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
28/08/2024;On 28 August 2024, Mujahideen Brigades militants threw pipe bombs at the Karme Zur settlement (Hebron, West Bank). There were no casualties.;Long War Journal
29/08/2024;On 29 August 2024, Hamas militants in Gaza fired two rockets that fell in open areas near Kissufim (Beer Sheva, HaDarom). No casualties occurred.;"Haaretz; N12; Times of Israel"
30/08/2024;On 30 August 2024, Mutasem Al Ali Brigades exchanged fire with Israeli forces that raided Nur ash Shams refugee camp (Tulkarm, West Bank). Militants also lured the Israeli soldiers to a mine field, causing them to detonate. Militants claimed they 'directly injured' Israeli forces but that has not been confirmed.;Long War Journal
31/08/2024;On 31 August 2024, dozens of Israeli settlers dressed in military uniforms [likely Settlement Emergency Squad] assaulted Palestinians, looted 300 sheep, and destroyed residential rooms while vandalizing water tanks in Jourat al-Khail east of Siir (Hebron, West Bank). There were injuries.;"Al-Ittihad; Palestine News and Information Agency; PLO Negotiations Affairs Department"
01/09/2024;On 1 September 2024, Hezbollah forces in Lebanon fired a number of rockets toward northern Israel, setting off sirens in Shomera and Shlomi (Akko, HaZafon). No casualties occurred. No location specified for rocket fall sites. Coded to Shlomi.;News 0404
02/09/2024;On 2 September 2024, Hezbollah forces in Lebanon fired several rockets toward Aramsha (Akko, HaZafon). Some of the rockets were intercepted. The remainder fell in open areas near Aramsha. No casualties occurred.;"Haaretz; Jerusalem Post; News 0404; Times of Israel"
03/09/2024;On 3 September 2024, Al Aqsa Martyrs Brigade and the Abdul al-Qadir al-Husseini Brigades fired mortars at Israeli troops stationed at Salah al-Din Gate south of Rafah, coded to Shokat as Sufi (Rafah, Gaza Strip). Casualties unknown.;Arab 48
04/09/2024;On 4 September 2024, Hezbollah forces in Lebanon fired at least 100 rockets toward northern Israel, some of which fell in open areas near Emeq HaHula (Zefat, HaZafon). No casualties occurred.;N12
05/09/2024;On 5 September 2024, Hezbollah forces in Lebanon fired one projectiles that fell in an open area near Elkosh (Akko, HaZafon). No casualties occurred.;"Times of Israel; Ynet"
06/09/2024;Around 6 September 2024, Israeli ground forces killed dozens of Palestinian gunmen in Tal as Sultan (Rafah, Gaza Strip), likely in clashes or by directing airstrikes (coded as 12 fatalities). In one incident, Israeli troops raided a building and clashed with gunmen who threw a grenade at soldiers, injuring at least one soldier. Meanwhile, Israeli troops opened fire and killed a gunman. Total fatalities coded as 13 (dozens of Palestinians + 1 gunman).;"Arutz Sheva; Israeli Defense Forces; Twitter"
07/09/2024;On 7 September 2024, Al Aqsa Martyrs Brigade opened fire at Israeli forces positioned on Har Gerizim (Nablus, West Bank). There were no casualties.;Long War Journal
08/09/2024;On 8 September 2024, a Jordanian armed truck driver shot and killed three Israeli civilians at the Allenby Bridge border crossing (Jericho, West Bank), before being shot and killed by Israeli security forces. The three Israeli men were employees of a subcontracting company for the cargo terminal, and were not military or police.;"BBC News; Reuters"
09/09/2024;On 9 September 2024, AAMB: Balata Youth of Revenge and Liberation and PIJ: Katibat Nablus exchanged fire with Israeli forces that raided Balata Camp (Nablus, West Bank). Balata Youth of Revenge and Liberation militants detonated 'Al Zufi' IEDs against Israeli forces. There were no casualties.;Long War Journal
